EmployeeID,Age,Gender,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyIncome,JobLevel,NumCompaniesWorked,TrainingHoursLastYear,WorkLifeBalance,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,OverTime,BusinessTravel,Absences,TaskCompletionRate,PeerRatingScore,ManagerRatingScore,ProjectsCompleted,GoalAchievementPct,PerformanceScore,PerformanceRating
EMP0011,37,Male,Bachelor's,Support,Support Manager,4,1,4,181349,2,6,74,1,1,3,1,No,Rarely,5,74.4,2.13,2.77,19,57.2,44.35,Below Expectations
EMP0012,49,Male,Bachelor's,Marketing,Brand Manager,17,7,9,182833,2,3,49,3,4,3,1,Yes,Rarely,1,66.5,1.75,4.49,5,68.4,54.51,Below Expectations
EMP0013,54,Male,Bachelor's,Marketing,Content Writer,11,0,3,88944,1,7,11,1,1,4,2,Yes,Rarely,3,86.0,2.85,4.86,19,84.8,50.46,Below Expectations
EMP0014,34,Female,Bachelor's,Finance,Finance Manager,2,0,2,187605,2,8,12,2,2,2,2,No,No Travel,4,95.1,3.02,2.02,4,55.5,40.62,Below Expectations
EMP0015,46,Non-binary,Bachelor's,HR,HR Associate,24,5,9,132437,2,2,8,1,1,2,3,Yes,Rarely,10,81.0,2.42,1.27,5,50.9,26.7,Needs Improvement
EMP0016,57,Female,Master's,Marketing,Digital Marketer,6,4,5,151794,3,6,58,1,3,1,3,No,Rarely,12,60.7,3.78,3.6,5,40.2,26.64,Needs Improvement
EMP0017,48,Female,Bachelor's,Operations,COO,16,8,5,97123,1,9,44,1,2,4,2,No,No Travel,7,96.5,1.74,3.01,1,69.3,39.05,Needs Improvement
EMP0018,59,Female,High School,Finance,Analyst,18,11,1,47880,1,8,69,1,3,2,3,No,Rarely,4,76.4,3.04,3.26,18,95.7,62.91,Meets Expectations
EMP0019,28,Female,Master's,Sales,SDR,17,6,7,197825,2,0,42,4,4,4,4,No,No Travel,5,86.0,3.0,1.19,15,56.9,57.11,Meets Expectations
EMP0020,26,Female,PhD,HR,HRBP,0,0,0,112829,3,1,73,1,3,3,1,Yes,Frequently,14,94.5,4.3,4.1,19,42.6,37.39,Needs Improvement
EMP0021,52,Male,Master's,Operations,Ops Manager,24,11,6,157633,4,6,22,3,3,1,2,Yes,No Travel,15,99.5,4.71,1.93,14,77.2,44.03,Below Expectations
EMP0022,44,Female,Bachelor's,Operations,Ops Analyst,23,6,8,78205,5,1,78,4,1,2,2,Yes,Rarely,10,75.3,3.65,2.34,6,43.4,46.54,Below Expectations
EMP0023,31,Female,Master's,Sales,Account Executive,4,2,4,131948,1,6,44,1,1,1,4,Yes,Frequently,6,90.4,2.22,1.91,18,70.4,49.22,Below Expectations
EMP0024,53,Male,PhD,HR,HR Manager,1,0,1,84810,3,0,22,1,2,3,3,No,Rarely,5,78.3,3.76,4.78,8,62.9,43.39,Below Expectations
EMP0025,51,Female,Master's,Finance,Finance Manager,0,0,0,138089,3,2,33,1,4,4,2,No,Frequently,11,74.3,2.01,1.67,5,68.5,43.13,Below Expectations
EMP0026,52,Male,Bachelor's,Engineering,Junior Dev,6,6,5,89482,2,4,15,4,2,4,2,No,Rarely,3,76.9,4.87,3.93,8,49.8,56.23,Meets Expectations
EMP0027,39,Female,Bachelor's,HR,HRBP,10,10,1,94192,5,5,62,1,4,3,4,No,Frequently,13,74.2,4.29,1.98,6,45.4,41.72,Below Expectations
EMP0028,57,Female,Master's,Sales,VP Sales,10,2,6,112154,1,8,50,1,4,3,1,Yes,Rarely,10,71.1,2.72,2.7,10,84.9,44.58,Below Expectations
EMP0029,23,Male,Bachelor's,Operations,COO,17,10,2,111066,4,8,31,1,3,2,2,Yes,No Travel,11,86.2,4.14,4.98,3,54.7,38.02,Needs Improvement
EMP0030,35,Male,Bachelor's,Finance,Analyst,16,7,6,184402,2,2,37,2,1,2,2,No,Rarely,1,62.5,2.63,1.4,13,88.0,49.67,Below Expectations
EMP0031,34,Male,Master's,HR,HR Manager,1,1,1,172211,1,7,55,3,4,2,4,Yes,Rarely,10,80.8,1.3,4.53,7,85.5,46.73,Below Expectations
EMP0032,50,Female,Master's,Engineering,Junior Dev,6,6,6,153514,1,3,68,1,1,2,2,No,Rarely,12,85.6,3.83,4.78,4,51.9,43.02,Below Expectations
EMP0033,33,Male,Bachelor's,Engineering,Junior Dev,6,1,6,57977,3,6,16,3,4,2,2,No,No Travel,10,94.6,2.62,3.79,13,94.5,53.92,Below Expectations
EMP0034,23,Female,Master's,Marketing,CMO,9,0,1,29983,5,5,38,2,1,4,1,No,No Travel,8,66.6,4.72,1.04,6,49.7,34.59,Needs Improvement
EMP0035,53,Male,Bachelor's,Marketing,CMO,21,6,5,195981,4,7,40,2,2,2,2,No,Rarely,15,93.0,2.23,4.28,16,87.8,55.02,Meets Expectations
EMP0036,34,Non-binary,Bachelor's,Support,Sr. Support,20,0,5,74029,5,5,47,1,1,3,4,Yes,Rarely,4,97.3,4.37,4.53,1,65.2,52.6,Below Expectations
EMP0037,48,Female,Master's,Sales,Account Executive,2,2,2,177401,3,3,27,3,3,3,1,No,No Travel,11,82.4,3.72,4.92,13,51.0,44.27,Below Expectations
EMP0038,38,Female,Bachelor's,HR,HR Associate,11,10,8,147668,4,1,76,4,4,2,1,No,Rarely,2,88.6,4.41,4.36,2,96.3,76.02,Exceeds Expectations
EMP0039,52,Female,Bachelor's,HR,HRBP,2,2,2,192806,4,6,49,1,3,3,1,Yes,No Travel,15,70.3,2.17,2.78,19,97.8,38.41,Needs Improvement
EMP0040,55,Female,PhD,Support,Support Agent,10,10,4,67837,2,3,0,4,4,1,3,No,Rarely,18,97.6,2.85,3.75,6,70.7,38.28,Needs Improvement
EMP0041,45,Female,Bachelor's,Operations,Ops Manager,11,9,8,142512,4,8,49,2,3,4,4,Yes,Frequently,16,83.5,4.29,2.94,11,68.2,43.24,Below Expectations
EMP0042,56,Male,Bachelor's,Operations,Sr. Ops Manager,24,7,7,91786,1,8,18,2,4,4,3,No,Rarely,10,65.5,3.58,2.41,17,94.1,51.03,Below Expectations
EMP0043,27,Male,PhD,Support,Support Manager,3,3,3,29758,5,6,58,3,1,2,2,No,No Travel,18,70.2,2.44,3.51,9,75.8,29.74,Needs Improvement
EMP0044,40,Male,Master's,Operations,Ops Manager,24,3,7,127667,5,4,67,4,4,1,1,Yes,No Travel,17,80.9,3.05,4.08,5,56.0,41.26,Below Expectations
EMP0045,51,Male,Master's,Marketing,Digital Marketer,15,0,5,133119,2,2,66,4,3,2,3,Yes,Rarely,8,61.7,4.98,3.54,5,65.5,49.78,Below Expectations
EMP0046,28,Male,Master's,HR,HRBP,19,0,2,125157,4,2,40,1,3,2,2,Yes,Rarely,12,87.7,3.97,4.31,16,90.2,57.73,Meets Expectations
EMP0047,31,Female,Bachelor's,Support,Sr. Support,17,3,6,107673,3,8,9,3,4,3,3,Yes,Rarely,5,61.2,3.46,1.71,4,91.6,37.84,Needs Improvement
EMP0048,53,Non-binary,Master's,HR,HR Manager,3,3,3,122639,1,8,27,3,4,4,1,Yes,Frequently,2,79.6,4.31,2.49,13,96.4,62.52,Meets Expectations
EMP0049,55,Male,Bachelor's,Engineering,Senior Dev,21,11,7,177904,2,3,33,4,2,1,2,Yes,Frequently,11,84.9,2.77,2.25,17,57.3,42.83,Below Expectations
EMP0050,49,Female,Master's,Marketing,Digital Marketer,5,5,0,157940,4,0,38,2,2,3,1,Yes,No Travel,8,93.0,4.8,1.78,9,80.8,55.13,Meets Expectations
EMP0051,36,Male,Bachelor's,Finance,Senior Analyst,20,3,6,139869,3,9,55,3,1,4,1,No,No Travel,8,86.7,3.21,2.77,13,44.1,48.2,Below Expectations
EMP0052,51,Female,Master's,Marketing,Digital Marketer,14,9,2,197934,4,4,51,2,1,4,3,No,Rarely,14,89.9,2.31,4.79,16,83.6,44.12,Below Expectations
EMP0053,58,Female,Bachelor's,Support,Sr. Support,0,0,0,44728,2,7,2,1,1,2,4,No,Rarely,0,95.6,1.34,3.15,10,73.8,48.91,Below Expectations
EMP0054,50,Female,Bachelor's,Finance,Senior Analyst,2,0,1,128542,3,9,22,3,1,1,2,Yes,Rarely,17,79.9,2.5,2.15,10,55.0,23.34,Needs Improvement
EMP0055,43,Non-binary,Master's,Engineering,Architect,4,4,4,118565,3,3,16,3,1,2,2,Yes,Rarely,14,92.3,3.27,2.42,16,79.3,43.69,Below Expectations
EMP0056,25,Male,Master's,Support,Sr. Support,21,9,8,195929,3,9,70,1,4,3,4,No,No Travel,7,61.6,3.81,3.45,1,48.1,39.57,Needs Improvement
EMP0057,41,Female,Master's,Sales,VP Sales,16,6,2,184255,3,9,25,3,2,2,2,No,Frequently,10,90.7,4.5,2.41,11,60.0,43.54,Below Expectations
EMP0058,53,Female,Bachelor's,HR,HR Director,13,1,2,175012,4,3,17,4,4,2,3,No,Rarely,16,61.1,4.78,3.15,13,64.1,34.27,Needs Improvement
EMP0059,57,Male,Bachelor's,Engineering,Junior Dev,8,8,5,150019,3,8,45,4,2,4,2,Yes,Frequently,13,96.7,1.41,2.1,18,86.6,53.17,Below Expectations
EMP0060,25,Female,Master's,HR,HR Associate,2,1,2,161352,4,8,69,1,2,4,3,No,Rarely,18,66.5,3.4,2.38,5,58.5,17.7,Needs Improvement
EMP0061,48,Male,Master's,Operations,COO,12,7,0,127548,3,6,30,2,3,3,2,No,Rarely,4,58.6,3.67,3.82,4,42.9,29.3,Needs Improvement
EMP0062,38,Female,Master's,Sales,VP Sales,2,2,2,158236,3,9,8,2,3,4,3,No,No Travel,1,57.4,1.69,3.34,6,50.8,41.55,Below Expectations
EMP0063,33,Male,PhD,Sales,Account Executive,10,9,2,146289,2,7,34,3,2,4,4,No,Rarely,14,59.4,3.18,1.37,15,76.5,34.49,Needs Improvement
EMP0064,43,Male,Master's,Engineering,Junior Dev,1,1,1,154068,4,3,59,2,4,4,2,No,No Travel,18,72.4,2.34,4.89,2,40.9,26.16,Needs Improvement
EMP0065,38,Female,Bachelor's,Sales,Sales Manager,23,9,8,104624,4,7,75,2,2,2,3,No,Rarely,15,76.1,1.31,1.2,4,87.5,25.49,Needs Improvement
EMP0066,31,Female,Master's,Finance,Analyst,14,4,2,174477,5,5,62,1,1,1,1,No,No Travel,12,95.7,1.26,1.33,14,94.1,44.85,Below Expectations
EMP0067,22,Male,PhD,Sales,VP Sales,12,9,0,27821,2,2,51,2,4,3,1,Yes,No Travel,6,69.1,4.04,3.81,4,69.7,50.66,Below Expectations
EMP0068,43,Male,Master's,HR,HR Director,18,1,2,80090,4,6,47,2,4,2,1,Yes,No Travel,16,60.9,3.46,3.83,18,82.5,40.33,Below Expectations
EMP0069,47,Female,Master's,HR,HR Manager,21,4,6,178588,2,2,60,2,2,3,2,No,No Travel,18,87.2,3.86,1.08,16,67.8,29.83,Needs Improvement
EMP0070,39,Male,Master's,Support,Sr. Support,15,7,6,166545,2,6,23,4,1,2,3,Yes,Rarely,6,56.7,3.74,3.57,9,58.5,30.7,Needs Improvement
EMP0071,35,Male,Bachelor's,HR,HR Associate,17,5,4,71454,2,4,73,4,2,3,1,No,Frequently,11,94.6,1.54,1.13,8,49.9,41.92,Below Expectations
EMP0072,50,Female,Bachelor's,Support,Sr. Support,6,2,0,198602,1,3,57,1,1,4,2,No,Rarely,12,70.5,1.61,4.84,11,71.1,39.14,Needs Improvement
EMP0073,33,Female,Bachelor's,HR,HRBP,12,7,7,129273,4,2,63,3,4,3,3,No,Rarely,12,80.7,2.01,3.78,14,95.8,53.43,Below Expectations
EMP0074,57,Male,PhD,Finance,Finance Manager,3,3,3,129472,2,7,29,1,2,1,1,No,No Travel,13,59.3,2.6,1.75,17,93.4,27.04,Needs Improvement
EMP0075,56,Female,Master's,Support,Sr. Support,8,4,7,180870,1,3,28,3,1,3,1,No,Rarely,14,57.3,4.76,1.63,13,95.2,44.82,Below Expectations
EMP0076,33,Female,Bachelor's,Marketing,Brand Manager,9,1,9,156935,1,7,9,3,3,1,2,No,No Travel,1,89.9,3.7,3.28,8,98.0,69.24,Meets Expectations
EMP0077,28,Female,PhD,Operations,Sr. Ops Manager,8,1,8,41148,3,9,38,2,4,3,3,No,No Travel,5,71.5,2.02,3.53,14,49.9,39.31,Needs Improvement
EMP0078,50,Female,Bachelor's,Engineering,Junior Dev,6,6,6,111545,3,2,54,2,4,4,2,No,No Travel,8,99.3,1.22,4.32,11,48.8,61.5,Meets Expectations
EMP0079,32,Male,Bachelor's,HR,HRBP,14,0,1,79459,4,9,27,1,3,3,1,No,Rarely,14,76.2,3.74,4.61,9,65.7,33.85,Needs Improvement
EMP0080,54,Male,Master's,Sales,VP Sales,7,7,7,109224,3,8,17,1,1,2,2,No,No Travel,19,92.3,3.5,2.57,8,81.4,34.48,Needs Improvement
EMP0081,27,Male,Master's,HR,HR Director,18,11,2,91189,4,5,40,1,4,4,2,No,Frequently,15,99.0,3.7,4.38,14,66.4,47.84,Below Expectations
EMP0082,36,Female,Bachelor's,Sales,SDR,10,1,3,164201,1,4,74,4,1,4,1,No,Rarely,1,64.1,2.04,3.17,15,93.5,63.98,Meets Expectations
EMP0083,53,Male,Bachelor's,Operations,Ops Manager,4,4,0,116954,1,4,64,4,3,2,1,No,Frequently,2,90.0,3.07,2.88,1,83.0,74.07,Exceeds Expectations
EMP0084,32,Female,Bachelor's,Operations,Ops Analyst,1,1,1,48118,4,2,45,4,2,4,3,No,Frequently,19,51.1,2.45,3.8,12,78.0,19.63,Needs Improvement
EMP0085,44,Male,Bachelor's,Operations,Ops Manager,9,0,4,156515,3,1,59,4,4,4,3,No,Rarely,7,84.0,4.27,1.41,5,44.3,52.06,Below Expectations
EMP0086,47,Male,Bachelor's,Sales,Account Executive,15,3,2,183113,3,5,8,4,4,2,1,Yes,Frequently,7,87.3,1.28,2.06,14,50.5,42.5,Below Expectations
EMP0087,55,Female,Bachelor's,HR,HR Manager,22,11,9,114379,4,0,44,2,1,4,1,No,No Travel,6,73.9,2.1,4.27,16,65.7,57.62,Meets Expectations
EMP0088,55,Male,Bachelor's,Operations,Ops Manager,12,10,1,46053,5,6,59,3,4,4,4,No,Frequently,10,58.1,3.41,3.02,19,98.6,43.48,Below Expectations
EMP0089,50,Male,Bachelor's,Finance,Senior Analyst,7,7,5,121384,3,4,27,4,2,4,4,No,No Travel,12,80.8,1.82,4.63,16,60.1,43.08,Below Expectations
EMP0090,25,Female,High School,Support,Support Agent,8,4,7,193276,2,3,2,1,3,4,3,No,Rarely,7,94.9,3.69,1.35,7,77.8,47.72,Below Expectations
EMP0091,38,Male,Bachelor's,Sales,Account Executive,10,8,6,142545,3,8,50,3,4,3,2,No,Rarely,8,96.6,1.55,2.25,3,99.3,56.1,Meets Expectations
EMP0092,56,Female,Master's,Sales,Sales Manager,10,0,0,198312,5,9,7,4,3,4,1,No,Frequently,15,87.3,1.09,2.42,8,55.8,29.95,Needs Improvement
EMP0093,34,Female,Master's,HR,HRBP,22,11,3,151675,1,0,69,4,1,4,1,No,Frequently,4,63.2,4.45,2.69,14,50.0,46.34,Below Expectations
EMP0094,36,Male,Bachelor's,Sales,Account Executive,15,4,2,118749,1,3,58,2,2,4,2,Yes,No Travel,13,93.5,2.33,4.95,3,72.8,40.71,Below Expectations
EMP0095,50,Female,High School,Sales,Sales Manager,9,1,5,164363,1,2,60,2,4,3,3,No,Rarely,0,94.4,1.63,2.24,11,73.1,59.24,Meets Expectations
EMP0096,50,Female,Bachelor's,Operations,COO,23,8,8,41285,3,5,57,2,3,1,4,Yes,Rarely,18,68.4,1.69,3.07,14,95.3,34.9,Needs Improvement
EMP0097,32,Male,Bachelor's,HR,HR Associate,11,5,8,86589,1,4,69,4,2,4,3,No,Rarely,16,59.1,4.54,3.14,2,41.6,32.74,Needs Improvement
EMP0098,53,Male,Bachelor's,Operations,Ops Analyst,24,1,6,38944,5,6,11,2,3,1,2,Yes,No Travel,13,93.7,3.62,4.08,4,64.4,37.84,Needs Improvement
EMP0099,23,Male,Bachelor's,Support,Sr. Support,5,2,5,126041,5,0,8,4,1,1,1,No,Rarely,12,94.3,4.83,3.07,5,58.7,29.24,Needs Improvement
EMP0100,35,Female,Bachelor's,Support,Sr. Support,11,7,7,113876,3,4,48,3,2,2,4,Yes,Frequently,7,55.0,4.2,3.42,19,74.3,47.19,Below Expectations
EMP0101,41,Male,Master's,Operations,COO,9,0,4,120561,2,1,16,3,2,2,2,No,Rarely,2,98.3,4.07,4.01,10,40.6,55.87,Meets Expectations
EMP0102,43,Female,Bachelor's,Support,Sr. Support,17,11,8,79391,3,1,53,4,1,1,1,No,Rarely,0,76.7,3.0,1.4,2,82.7,57.43,Meets Expectations
EMP0103,32,Female,Bachelor's,HR,HRBP,17,2,6,26607,1,1,43,1,1,3,3,No,Rarely,18,99.7,4.28,4.85,3,69.1,36.13,Needs Improvement
EMP0104,48,Female,Master's,Engineering,Architect,3,3,3,27953,3,8,31,4,4,4,4,No,Rarely,14,72.3,2.65,4.39,15,82.0,51.54,Below Expectations
EMP0105,24,Male,Bachelor's,Operations,Sr. Ops Manager,8,0,7,69941,5,9,34,3,1,4,1,No,Frequently,7,76.7,4.31,2.56,19,66.9,45.94,Below Expectations
EMP0106,38,Male,Bachelor's,Finance,Analyst,6,6,6,86683,3,2,77,3,1,4,1,Yes,Rarely,8,63.3,4.03,3.91,2,68.5,50.8,Below Expectations
EMP0107,49,Female,Bachelor's,Finance,Finance Manager,17,10,8,134588,3,3,48,4,3,2,1,Yes,Rarely,12,94.9,3.71,4.05,3,93.7,59.47,Meets Expectations
EMP0108,50,Male,Bachelor's,Sales,SDR,7,7,7,147080,2,4,53,4,2,2,1,Yes,Frequently,11,72.2,2.32,4.4,12,52.7,36.8,Needs Improvement
EMP0109,42,Male,Master's,Support,Team Lead,10,0,0,36154,5,3,15,4,3,4,1,No,No Travel,8,90.7,3.52,1.75,14,53.0,51.19,Below Expectations
EMP0110,37,Male,Bachelor's,Finance,Analyst,6,4,6,150542,4,3,11,3,1,1,3,Yes,Frequently,19,54.0,3.03,3.81,17,73.6,15.63,Needs Improvement
EMP0111,58,Male,Bachelor's,Sales,Account Executive,8,3,6,165119,4,4,7,1,4,2,2,Yes,Rarely,10,89.4,2.85,1.13,16,79.6,31.63,Needs Improvement
EMP0112,41,Female,Bachelor's,Engineering,Tech Lead,7,6,0,113529,5,9,20,4,3,4,4,No,Frequently,4,74.5,4.96,1.46,17,61.3,52.51,Below Expectations
EMP0113,27,Male,High School,HR,HR Associate,2,2,0,39323,4,8,47,3,3,1,3,Yes,No Travel,18,50.3,3.02,4.1,9,71.2,32.7,Needs Improvement
EMP0114,40,Male,Master's,HR,HRBP,16,7,4,62693,1,8,7,4,2,4,4,Yes,Rarely,17,61.3,1.13,4.25,3,53.7,25.1,Needs Improvement
EMP0115,26,Male,Master's,HR,HR Director,1,1,1,114170,4,5,27,3,2,2,1,No,Frequently,10,59.7,3.51,3.37,14,48.2,28.04,Needs Improvement
EMP0116,24,Female,Bachelor's,Finance,Senior Analyst,14,10,8,182364,1,2,79,4,2,3,2,No,Rarely,10,87.6,3.91,3.33,3,54.3,49.93,Below Expectations
EMP0117,22,Female,Bachelor's,Engineering,Junior Dev,13,0,5,70111,5,5,9,3,4,3,1,No,No Travel,5,73.9,4.54,4.0,6,95.0,52.73,Below Expectations
EMP0118,59,Male,Bachelor's,Finance,CFO,17,4,9,64491,4,9,51,4,4,2,3,Yes,No Travel,0,58.0,3.53,4.62,19,88.1,71.81,Exceeds Expectations
EMP0119,36,Female,Master's,Support,Team Lead,15,3,7,74336,4,3,14,2,1,1,3,No,Rarely,8,62.8,1.08,2.68,13,48.4,27.92,Needs Improvement
EMP0120,55,Female,Bachelor's,Finance,CFO,19,2,5,41905,1,2,3,4,1,4,4,Yes,Rarely,6,75.2,1.48,1.46,5,42.8,35.16,Needs Improvement
EMP0121,56,Female,High School,Engineering,Tech Lead,21,4,5,55273,1,5,78,3,2,2,1,No,Rarely,5,51.0,1.64,4.36,1,45.6,45.67,Below Expectations
EMP0122,46,Female,Bachelor's,Engineering,Senior Dev,3,3,3,150191,3,5,61,4,3,1,1,No,Rarely,9,71.2,1.85,2.37,12,57.6,46.18,Below Expectations
EMP0123,45,Male,Bachelor's,Support,Support Manager,24,2,4,140936,2,1,3,1,2,4,2,No,Frequently,4,83.9,4.2,1.54,15,88.7,43.67,Below Expectations
EMP0124,33,Male,Bachelor's,Engineering,Senior Dev,19,7,1,182306,4,8,40,4,1,4,2,No,Rarely,0,75.9,2.24,3.46,19,59.3,53.43,Below Expectations
EMP0125,39,Male,High School,Engineering,Junior Dev,5,2,2,91538,2,7,72,4,3,2,1,No,No Travel,14,79.9,2.25,3.31,2,51.1,33.45,Needs Improvement
EMP0126,36,Male,Bachelor's,HR,HRBP,5,0,2,129570,2,5,54,4,1,4,4,No,No Travel,4,66.3,4.02,2.9,3,63.8,37.35,Needs Improvement
EMP0127,37,Non-binary,Bachelor's,Support,Team Lead,10,8,4,188645,4,0,27,1,4,3,2,No,Rarely,19,59.2,2.65,4.44,7,47.4,24.12,Needs Improvement
EMP0128,48,Male,Bachelor's,Marketing,Digital Marketer,16,8,4,118339,1,1,46,1,2,3,1,No,Rarely,5,90.5,1.26,2.09,11,68.2,49.13,Below Expectations
EMP0129,29,Male,Master's,Marketing,Digital Marketer,23,5,5,146132,3,3,8,1,2,4,1,Yes,Rarely,4,95.3,3.34,1.05,10,80.5,44.23,Below Expectations
EMP0130,46,Female,High School,Engineering,Junior Dev,2,2,2,153993,5,6,1,2,3,2,1,No,Rarely,16,75.5,1.52,2.29,8,62.1,20.24,Needs Improvement
EMP0131,38,Female,Bachelor's,Marketing,CMO,12,0,5,36330,4,8,66,1,2,4,3,Yes,Rarely,17,65.3,3.29,1.04,2,50.4,19.08,Needs Improvement
EMP0132,50,Male,Master's,Marketing,Brand Manager,21,7,7,97553,4,9,47,2,1,2,4,No,Frequently,3,75.6,4.12,3.17,14,67.2,49.07,Below Expectations
EMP0133,29,Male,Bachelor's,Engineering,Tech Lead,2,1,1,197425,5,4,68,4,1,2,1,No,Frequently,1,93.9,4.72,2.51,13,85.7,75.1,Exceeds Expectations
EMP0134,36,Male,Master's,Marketing,Content Writer,15,8,3,172083,2,9,73,2,4,3,1,No,No Travel,7,84.6,1.27,4.26,7,44.6,46.3,Below Expectations
EMP0135,48,Female,Master's,Finance,Analyst,14,7,5,108537,3,1,27,4,1,3,1,No,Frequently,4,92.9,2.22,4.19,9,44.3,45.39,Below Expectations
EMP0136,28,Male,Bachelor's,Sales,Account Executive,10,2,4,85985,2,0,78,2,3,1,2,No,Rarely,3,66.4,3.61,2.74,7,59.1,54.43,Below Expectations
EMP0137,24,Male,PhD,Support,Sr. Support,17,4,0,42044,5,9,13,1,1,2,1,Yes,Rarely,13,85.6,2.26,1.87,1,64.9,22.11,Needs Improvement
EMP0138,50,Female,Bachelor's,Sales,VP Sales,14,8,8,194364,5,0,45,1,4,4,3,No,Rarely,3,82.7,2.8,2.69,1,53.0,53.14,Below Expectations
EMP0139,45,Male,Bachelor's,Engineering,Junior Dev,4,0,2,147304,3,4,12,2,4,2,3,No,Frequently,7,78.6,1.08,3.57,6,41.6,37.82,Needs Improvement
EMP0140,24,Female,Bachelor's,HR,HR Director,15,8,1,161322,5,6,15,2,2,3,4,No,Frequently,2,76.4,3.77,1.76,1,53.2,48.73,Below Expectations
EMP0141,41,Female,Bachelor's,Support,Support Agent,15,3,8,48289,5,8,39,1,3,2,1,No,Rarely,13,77.5,4.53,4.09,16,66.1,45.86,Below Expectations
EMP0142,36,Male,Master's,Engineering,Tech Lead,16,3,6,58087,3,8,71,4,1,1,1,Yes,No Travel,17,92.5,4.91,2.32,3,44.8,27.71,Needs Improvement
EMP0143,46,Female,Master's,HR,HR Associate,8,3,4,100952,4,7,29,4,4,4,1,No,Rarely,11,95.8,4.32,4.73,13,83.0,60.67,Meets Expectations
EMP0144,51,Female,Master's,Sales,SDR,22,9,5,61368,2,0,64,4,1,2,3,No,No Travel,14,55.6,1.13,3.05,4,73.1,31.54,Needs Improvement
EMP0145,35,Male,PhD,Engineering,Tech Lead,2,2,2,145648,4,4,57,4,4,4,2,Yes,Rarely,19,78.4,3.61,4.39,17,66.1,40.65,Below Expectations
EMP0146,28,Female,Master's,Support,Support Agent,19,8,0,95815,4,5,47,3,2,4,2,No,Frequently,19,95.9,2.98,3.46,10,71.1,42.14,Below Expectations
EMP0147,38,Female,Master's,Support,Support Manager,12,5,3,115693,2,5,48,4,4,3,1,No,Rarely,8,56.7,4.75,3.22,4,79.3,52.69,Below Expectations
EMP0148,41,Female,Bachelor's,Operations,Ops Manager,21,10,8,83900,4,3,1,3,2,2,2,Yes,No Travel,1,70.6,4.61,3.73,12,99.7,55.82,Meets Expectations
EMP0149,57,Male,Bachelor's,Finance,Senior Analyst,2,2,0,40494,3,0,13,3,3,4,4,No,Rarely,0,54.5,4.95,4.25,13,86.5,59.48,Meets Expectations
EMP0150,30,Non-binary,High School,Marketing,CMO,6,6,6,141486,2,2,16,1,1,3,3,Yes,Rarely,14,55.7,4.45,3.58,4,72.4,23.36,Needs Improvement
EMP0151,59,Male,Master's,HR,HRBP,5,3,2,181405,1,9,30,1,1,1,1,Yes,No Travel,14,95.2,3.19,4.19,16,86.2,40.05,Below Expectations
EMP0152,43,Male,Bachelor's,Operations,Ops Analyst,8,2,4,58050,4,3,9,2,2,1,2,No,Rarely,7,72.3,3.86,1.76,19,68.5,40.74,Below Expectations
